ticket_id,text_snippet,topic,urgency,next_action,confidence,missing_info,missing_fields,requires_human_review,short_note,action_status,action_target,action_note,retrieval_seconds,llm_seconds,validation_seconds,reviewer_seconds,routing_seconds,action_execution_seconds,total_ticket_seconds,reviewer_used,reviewer_model,reviewer_changed_topic,reviewer_changed_urgency,reviewer_trigger_flags,first_topic,first_urgency,first_confidence,first_short_note,reviewer_note,validator_flags,validator_notes,neighbor_predicted_topic,neighbor_topic_confidence,neighbor_predicted_priority,neighbor_priority_confidence,actual_queue,actual_priority,actual_type,proxy_topic,proxy_urgency,proxy_next_action,proxy_topic_source
8476be045c8e53f3,"Billing discrepancy - Overcharged for IT consultation  Dear Customer Support, I noticed a discrepancy in my recent bill for the IT Consulting Service. I was overcharged for the server administration setup consultation. Please review my acco",Billing / Payment,Medium,forward_to_billing_team,0.85,False,[],False,"Customer reports billing discrepancy for IT consultation service, with high confidence in Billing/Payment topic and Medium priority based on neighbor evidence.",simulated_success,billing_team_queue,Simulated action: forward ticket to the billing team queue.,0.0324,2.5725,0.0,0.0,0.0,0.0,2.605,False,,False,False,[],Billing / Payment,Medium,0.85,"Customer reports billing discrepancy for IT consultation service, with high confidence in Billing/Payment topic and Medium priority based on neighbor evidence.",,[],[],Billing / Payment,0.8021,medium,0.5985,Billing and Payments,high,Incident,Billing / Payment,High,forward_to_billing_team,queue_mapping
1d068f9f7c68009a,"Request to Return HP DeskJet 3755  Dear Customer Support,  I am experiencing wireless connectivity issues with the HP DeskJet 3755 I recently purchased. I followed all installation instructions, but the problem persists. Please advise on ho",Claims / Damage,Medium,create_or_update_claim,0.8,False,[],False,Customer is experiencing wireless connectivity issues with their HP DeskJet 3755 printer and requests a return and refund.,simulated_success,claims_queue,Simulated action: create or update a claim record for this ticket.,0.0498,2.6462,0.0,0.0,0.0,0.0,2.6961,False,,False,False,[],Claims / Damage,Medium,0.8,Customer is experiencing wireless connectivity issues with their HP DeskJet 3755 printer and requests a return and refund.,,[],[],Claims / Damage,0.8,medium,0.8015,Returns and Exchanges,medium,Request,Claims / Damage,Medium,create_or_update_claim,queue_mapping
c23a31d98a4c0e7c,"Problema del cliente con el acceso al servidor  Hola,  Estoy escribiendo para informar sobre un problema encontrado por nuestro cliente, <name>. Han estado experimentando problemas para acceder a ciertas funcionalidades del servidor, lo que",Technical / Online Access,High,escalate_to_human_supervisor,0.92,False,[],False,"Customer reports issues with accessing server functionalities, causing operational downtime and potential financial impact.",simulated_success,human_supervisor_queue,Simulated action: escalate ticket to a human supervisor.,0.0494,2.8055,0.0,0.0,0.0,0.0,2.855,False,,False,False,[],Technical / Online Access,High,0.92,"Customer reports issues with accessing server functionalities, causing operational downtime and potential financial impact.",,[],[],Technical / Online Access,0.7911,high,0.5935,Customer Service,medium,Incident,Other,Medium,send_standard_faq_or_self_service_link,queue_mapping
1c1bb89a68ea83f7,"Assistência necessária com a configuração sem fio para a Canon PIXMA MG3620  Caro Suporte ao Cliente,  Estou escrevendo para solicitar assistência com a configuração do recurso sem fio na minha nova impressora Canon PIXMA MG3620, que compre",Technical / Online Access,Low,forward_to_technical_support,0.85,False,[],False,Customer requests assistance with wireless configuration for Canon PIXMA MG3620 printer,simulated_success,technical_support_queue,Simulated action: forward ticket to the technical support queue.,0.0479,2.7479,0.0,0.0,0.0,0.0,2.7958,False,,False,False,[],Technical / Online Access,Low,0.85,Customer requests assistance with wireless configuration for Canon PIXMA MG3620 printer,,"[""topic_disagreement""]","[""LLM topic = Technical / Online Access, neighbor predicted_proxy_topic = Other (confidence: 0.79)""]",Other,0.7943,low,0.802,Product Support,low,Request,Policy / Contract,Low,send_standard_faq_or_self_service_link,queue_mapping
a1ebf2639484a175,"Immediate Attention Needed: Malfunctioning iMac 2023 Report  Greetings, I have received a malfunctioning iMac 2023. Your assistance would be appreciated.",Technical / Online Access,High,escalate_to_human_supervisor,0.61,False,[],True,"Malfunctioning iMac 2023 reported, neighbor evidence suggests high priority and technical online access as the most likely topic.",simulated_success,human_supervisor_queue,Simulated action: escalate ticket to a human supervisor.,0.0475,2.7767,0.0,0.0,0.0,0.0,2.8243,False,,False,False,[],Technical / Online Access,High,0.61,"Malfunctioning iMac 2023 reported, neighbor evidence suggests high priority and technical online access as the most likely topic.",,"[""low_neighbor_topic_confidence"", ""high_urgency_with_limited_confidence""]",[],Technical / Online Access,0.4016,high,0.6075,Service Outages and Maintenance,high,Request,Technical / Online Access,High,forward_to_technical_support,queue_mapping
68311b0cd0df8aba,"Inquiry about Billing Details and Payment Methods for Recent IT Consultation  Dear Customer Support Team,  I recently purchased your IT Consulting Service and would like to request more details regarding the billing statement. Unfortunately",Billing / Payment,Medium,forward_to_billing_team,0.99,False,[],False,Customer requests billing details and payment options for recent IT consultation service,simulated_success,billing_team_queue,Simulated action: forward ticket to the billing team queue.,0.0503,2.8037,0.0,0.0,0.0,0.0,2.8541,False,,False,False,[],Billing / Payment,Medium,0.99,Customer requests billing details and payment options for recent IT consultation service,,[],[],Billing / Payment,1.0,medium,0.5988,Billing and Payments,low,Request,Billing / Payment,Low,forward_to_billing_team,queue_mapping
d0694b663bfe2e9b,"Anfrage zur Rückgabe eines defekten MacBook Air  Hallo, ich habe ein MacBook Air M1 in Ihrem Geschäft gekauft und einen Defekt im Touchpad des Geräts festgestellt. Bitte helfen Sie mir mit dem Rückgabeprozess. Meine Bestellnummer ist <acc_n",Claims / Damage,Medium,escalate_to_human_supervisor,0.6,False,[],True,Customer requests return for defective MacBook Air due to touchpad issue,simulated_success,human_supervisor_queue,Simulated action: escalate ticket to a human supervisor.,0.0475,2.7861,0.0,0.0,0.0,0.0,2.8337,False,,False,False,[],Claims / Damage,Medium,0.6,Customer requests return for defective MacBook Air due to touchpad issue,,"[""low_neighbor_topic_confidence""]",[],Claims / Damage,0.4005,medium,0.5963,Returns and Exchanges,low,Request,Claims / Damage,Low,create_or_update_claim,queue_mapping
4e2fa8b2fa2a07f1,"Assistance Needed with HP DeskJet 3755 Printer Connection Issues  Hello, I am experiencing difficulties connecting my HP DeskJet 3755 printer to my home Wi-Fi network. Despite following the recommended setup process, the printer fails to es",Technical / Online Access,Medium,forward_to_technical_support,0.92,False,[],False,"Printer connection issue with HP DeskJet 3755, likely related to wireless setup",simulated_success,technical_support_queue,Simulated action: forward ticket to the technical support queue.,0.0454,2.7859,0.0,0.0,0.0,0.0,2.8313,False,,False,False,[],Technical / Online Access,Medium,0.92,"Printer connection issue with HP DeskJet 3755, likely related to wireless setup",,"[""topic_disagreement""]","[""LLM topic = Technical / Online Access, neighbor predicted_proxy_topic = Other (confidence: 0.60)""]",Other,0.6019,medium,0.8009,Customer Service,medium,Problem,Other,Medium,send_standard_faq_or_self_service_link,queue_mapping
e410b53937910eda,"Inquiry on Dell XPS 13 9310  Dear Customer Support,  I hope this message finds you well. I am reaching out to inquire about the Dell XPS 13 9310 laptop, as I am considering a potential purchase. Could you provide me with detailed informatio",Policy / Contract,Medium,send_standard_faq_or_self_service_link,0.7,False,[],False,"The inquiry seeks detailed product specifications, promotional offers, and warranty information for the Dell XPS 13 9310, aligning with a policy/contract nature and requiring moderate urgency due to neighbor evidence.",simulated_success,self_service_faq,Simulated action: send standard FAQ or self-service link to the customer.,0.0511,2.8218,0.0,3.263,0.0,0.0,6.136,True,granite4.1:8b,True,True,"[""low_llm_confidence"", ""urgency_disagreement"", ""topic_disagreement""]",Other,Low,0.4,"Inquiry about Dell XPS 13 9310 laptop performance features and sales offers, with no clear indication of a specific issue or claim.","The inquiry seeks detailed product specifications, promotional offers, and warranty information for the Dell XPS 13 9310, aligning with a policy/contract nature and requiring moderate urgency due to neighbor evidence.","[""low_llm_confidence"", ""urgency_disagreement"", ""topic_disagreement""]","[""LLM urgency = Low, neighbor predicted_priority = medium (confidence: 0.60)"", ""LLM topic = Other, neighbor predicted_proxy_topic = Policy / Contract (confidence: 0.80)""]",Policy / Contract,0.8001,medium,0.6002,Sales and Pre-Sales,medium,Request,Policy / Contract,Medium,send_standard_faq_or_self_service_link,queue_mapping
4326f4905f1ecb48,"Urgente: Problemas de Conexão com PostgreSQL  Olá Suporte ao Cliente,  Estamos enfrentando interrupções frequentes na conexão com nosso banco de dados PostgreSQL 14.3. Este problema requer atenção imediata para restaurar as operações normai",Technical / Online Access,High,escalate_to_human_supervisor,0.97,False,[],False,"Customer reports frequent connection issues with PostgreSQL, affecting business operations. High priority due to urgent nature of the issue.",simulated_success,human_supervisor_queue,Simulated action: escalate ticket to a human supervisor.,0.0473,2.8253,0.0,0.0,0.0,0.0,2.8726,False,,False,False,[],Technical / Online Access,High,0.97,"Customer reports frequent connection issues with PostgreSQL, affecting business operations. High priority due to urgent nature of the issue.",,[],[],Technical / Online Access,0.8037,high,0.6073,Technical Support,high,Incident,Technical / Online Access,High,forward_to_technical_support,queue_mapping
